Title,Genres,Categories,Rating
Kamisama no Uroko,"[""Fantasy"", ""Romance"", ""Supernatural"", ""Yaoi""]","[{""Category"": ""Arranged Marriage"", ""Score"": ""6""}, {""Category"": ""Dragon/s"", ""Score"": ""15""}, {""Category"": ""Fellatio/Blowjob"", ""Score"": ""6""}, {""Category"": ""God-Human Relationship"", ""Score"": ""17""}, {""Category"": ""Hometown"", ""Score"": ""11""}, {""Category"": ""Injury/ies"", ""Score"": ""9""}, {""Category"": ""Protective Boyfriend"", ""Score"": ""12""}, {""Category"": ""Protective Seme"", ""Score"": ""10""}, {""Category"": ""Transformation/s"", ""Score"": ""12""}, {""Category"": ""Writer/s"", ""Score"": ""12""}]",8.51
Blue Period.,"[""Drama"", ""Psychological"", ""School Life"", ""Seinen"", ""Slice of Life""]","[{""Category"": ""21st Century"", ""Score"": ""10""}, {""Category"": ""Adapted to Anime"", ""Score"": ""10""}, {""Category"": ""Art"", ""Score"": ""21""}, {""Category"": ""Art Student/s"", ""Score"": ""23""}, {""Category"": ""Award-Winning Work"", ""Score"": ""12""}, {""Category"": ""Character Growth"", ""Score"": ""10""}, {""Category"": ""Cross-dressing"", ""Score"": ""12""}, {""Category"": ""High School"", ""Score"": ""11""}, {""Category"": ""LGBT Character in Non-Yaoi/Yuri Manga"", ""Score"": ""18""}, {""Category"": ""Painting"", ""Score"": ""13""}]",8.51
Black Lagoon,"[""Action"", ""Adventure"", ""Comedy"", ""Drama"", ""Mature"", ""Seinen""]","[{""Category"": ""Adapted to Anime"", ""Score"": ""43""}, {""Category"": ""Antihero / Antiheroine"", ""Score"": ""31""}, {""Category"": ""Boat/s"", ""Score"": ""23""}, {""Category"": ""Female Fighter/s"", ""Score"": ""24""}, {""Category"": ""Gun/s"", ""Score"": ""56""}, {""Category"": ""Maid/s"", ""Score"": ""24""}, {""Category"": ""Mercenary/ies"", ""Score"": ""41""}, {""Category"": ""Pirate/s"", ""Score"": ""40""}, {""Category"": ""Smart Male Lead"", ""Score"": ""24""}, {""Category"": ""Strong Female Lead"", ""Score"": ""44""}]",8.51
Kokou no Hito,"[""Drama"", ""Mature"", ""Psychological"", ""Seinen"", ""Sports""]","[{""Category"": ""Dead Friend/s"", ""Score"": ""31""}, {""Category"": ""Deliberate Loner"", ""Score"": ""38""}, {""Category"": ""Guilt"", ""Score"": ""42""}, {""Category"": ""Hiking"", ""Score"": ""44""}, {""Category"": ""Loneliness"", ""Score"": ""46""}, {""Category"": ""Loner Protagonist"", ""Score"": ""46""}, {""Category"": ""Rock Climbing"", ""Score"": ""49""}, {""Category"": ""Search for Oneself"", ""Score"": ""41""}, {""Category"": ""Social Outcast/s"", ""Score"": ""26""}, {""Category"": ""Time Skip"", ""Score"": ""43""}]",8.51
Doukyuusei (NAKAMURA Asumiko),"[""Drama"", ""Romance"", ""School Life"", ""Shounen Ai""]","[{""Category"": ""All-Boys School"", ""Score"": ""44""}, {""Category"": ""Atypical Art Style"", ""Score"": ""25""}, {""Category"": ""Choir"", ""Score"": ""24""}, {""Category"": ""First Love"", ""Score"": ""47""}, {""Category"": ""Glasses-Wearing Male Lead"", ""Score"": ""38""}, {""Category"": ""Inexperienced in Love"", ""Score"": ""20""}, {""Category"": ""Model Student"", ""Score"": ""34""}, {""Category"": ""Opposites Attract"", ""Score"": ""42""}, {""Category"": ""Student-Student Relationship"", ""Score"": ""32""}, {""Category"": ""Student/s"", ""Score"": ""34""}]",8.51
Asterisk,"[""Action"", ""Adventure"", ""Drama"", ""Shounen Ai"", ""Supernatural""]","[{""Category"": ""Angel/s"", ""Score"": ""34""}, {""Category"": ""Animal Sidekick"", ""Score"": ""19""}, {""Category"": ""Animal/s"", ""Score"": ""17""}, {""Category"": ""Bishounen"", ""Score"": ""18""}, {""Category"": ""Childhood Friend/s"", ""Score"": ""31""}, {""Category"": ""Happy-Go-Lucky Protagonist"", ""Score"": ""17""}, {""Category"": ""Heaven"", ""Score"": ""29""}, {""Category"": ""Possessive Friend"", ""Score"": ""19""}, {""Category"": ""Sincere Male Lead"", ""Score"": ""25""}, {""Category"": ""Weak to Strong"", ""Score"": ""14""}]",8.51
Planetes,"[""Drama"", ""Psychological"", ""Romance"", ""Sci-fi"", ""Seinen"", ""Slice of Life""]","[{""Category"": ""Adapted to Anime"", ""Score"": ""11""}, {""Category"": ""Astronaut/s"", ""Score"": ""18""}, {""Category"": ""Award-Winning Work"", ""Score"": ""11""}, {""Category"": ""Episodic"", ""Score"": ""7""}, {""Category"": ""Future"", ""Score"": ""12""}, {""Category"": ""Hard Science Fiction"", ""Score"": ""12""}, {""Category"": ""Outer Space"", ""Score"": ""12""}, {""Category"": ""Reflections on Human Existence"", ""Score"": ""10""}, {""Category"": ""Space Travel"", ""Score"": ""9""}, {""Category"": ""Spaceship"", ""Score"": ""7""}]",8.51
Rutta to Kodama,"[""Drama"", ""Romance"", ""School Life"", ""Slice of Life"", ""Smut"", ""Yaoi""]","[{""Category"": ""Affectionate Seme"", ""Score"": ""27""}, {""Category"": ""Changed by Love"", ""Score"": ""35""}, {""Category"": ""Delinquent/s"", ""Score"": ""44""}, {""Category"": ""Dormitory/ies"", ""Score"": ""32""}, {""Category"": ""Friends Become Lovers"", ""Score"": ""33""}, {""Category"": ""Love Confession/s"", ""Score"": ""37""}, {""Category"": ""Roommates"", ""Score"": ""39""}, {""Category"": ""Student-Student Relationship"", ""Score"": ""36""}, {""Category"": ""Transfer Student/s"", ""Score"": ""31""}, {""Category"": ""Unrequited Love Becomes Requited"", ""Score"": ""28""}]",8.51
Black Haze,"[""Action"", ""Comedy"", ""Drama"", ""Fantasy"", ""School Life"", ""Shounen"", ""Supernatural"", ""Tragedy""]","[{""Category"": ""Demon/s"", ""Score"": ""65""}, {""Category"": ""Full Color"", ""Score"": ""71""}, {""Category"": ""Magic"", ""Score"": ""71""}, {""Category"": ""Magic School"", ""Score"": ""73""}, {""Category"": ""Magician/s"", ""Score"": ""70""}, {""Category"": ""Mission/s"", ""Score"": ""65""}, {""Category"": ""Protagonist Strong from the Start"", ""Score"": ""65""}, {""Category"": ""Secret Identity"", ""Score"": ""73""}, {""Category"": ""Strong Male Lead"", ""Score"": ""74""}, {""Category"": ""Transformation/s"", ""Score"": ""71""}]",8.51
NightS,"[""Comedy"", ""Drama"", ""Romance"", ""School Life"", ""Slice of Life"", ""Yaoi""]","[{""Category"": ""Age Gap"", ""Score"": ""28""}, {""Category"": ""Detective/s"", ""Score"": ""13""}, {""Category"": ""Drug Trafficking"", ""Score"": ""13""}, {""Category"": ""Identity Crisis"", ""Score"": ""21""}, {""Category"": ""Mafia"", ""Score"": ""36""}, {""Category"": ""Manly Gay Couple"", ""Score"": ""24""}, {""Category"": ""Mixed Blood"", ""Score"": ""26""}, {""Category"": ""Older Uke Younger Seme"", ""Score"": ""21""}, {""Category"": ""Secret Identity"", ""Score"": ""17""}, {""Category"": ""Strong Uke"", ""Score"": ""22""}]",8.51
